quantile,min,max,mean,std,count
1.0,-0.8328458579402891,0.1003164453261854,-0.2633446483304293,0.22224887764152693,242
2.0,-0.7321566942970382,0.20947787565907236,-0.11299016604628957,0.16157748449034268,242
3.0,-0.4868531917804669,0.32381399418324563,-0.033122605989745486,0.1385095860509393,242
4.0,-0.35619763162378915,0.38882351837531737,0.02276917815247485,0.1359660262951424,242
5.0,-0.34184712363634345,0.5171320729868241,0.07620526508567421,0.14139424637895057,242
6.0,-0.22612961445225307,0.4415116532624602,0.0806086075575231,0.11486787617557322,133
7.0,-0.2000853388502289,0.5830890708737416,0.1551397475413191,0.14644037768032284,242
8.0,-0.12339234656125292,0.6644315647154957,0.22288959604436384,0.16308799302416657,242
9.0,-0.06357154541298789,0.7757492023494355,0.3076921464069361,0.17905417902199622,242
10.0,0.004683294718508682,0.9918137565299526,0.48739269700150256,0.20692539476203622,242
